text,label
"selama pakai tokopedia sangat memuaskan dan keluhan, permasalan yg saya alami dapat di selesaikan dengan baik. pertahankan terus tokopedia dan tingkatkan lagi kelengakapan barangnya",positive
"saya selalu puas dengan layanan tokped, dengan adanya tokped memberi kemudahan bagi saya untuk mendapatkan barang yang saya butuhkan, tq tokped",positive
"Beli di tokped siang transaksi sudah dibayar lewat link, nunggu konfirmasi nah pas sekarang dicek ga ada transaksi transaksi sama sekali kemana hilangnya? Pengen komplain ga bisa kan ga ada transaksi nya padahal siang ada jadi gimana masa iya hangus uangnya",negative
"nyesel banget nyobain beli pulsa di tokped mubadzir. statusnya menunggu konfirmasi operator terus, disuruh nunggu 1x24 jam, emang pake jasa ekspedisi kirim pulsanya, gak bisa diandelin banget, ujung²nya beli ditempat lain yg lebih cepat.",negative
"hallo,... kepada tokopedia. trimakasih atas pelayanannya, untuk tampilan, dan beberapa fitur untuk update pada kali ini saya rasa sudah cukup baik, dan cukup memuaskan. namun, sy minta tolong terkait fitur cetak (print) yang ada pada invoice, itu tidakdapat digunakan atau tidakbekerja. saya berharap agar fitur itu segera diperbaiki, trimakasih🙏🙏",positive
"sangat baik dan memuaskan,semakin senang belanja di Tokopedia, pelayanan nya cepat, barang berkwalitas, pengiriman cepat,sebagai pembeli saya merasa di hargai, semboyan "" Pembeli adalah raja"", diterapkan di Tokopedia. apabila ada pembatalan dari pembeli, uang cepat dikembalikan. tanpa ada tarik ulur, pada saat pengembalian uang. apabila ada promosi selalu diberikan sesuai dengan ketentuan yang ada. sulit bagi saya untuk berpaling dari Tokopedia,saya berharap pelayanan ditingkatkan terus.",positive
"Sangat membantu, paling tidakuntuk membantu perbandingan harga, serta mempelajari quality barang yang diminati. Selain itu kita bisa piluh barang sesuai yang kita inginkan.",positive
proses pembelian barang bagus. sesuai dgn gambar yg di upload. tdk menipudgn kata kata yg menarik org utk membeli produk. uang aman,positive
kacau pesanan lewan grab gojek di batalkan.. padahal pesan hari jumat. pake yg 6 jam. sampe sekarang belum sampe.ga ada kepastian.. dari pihak toko sudah komplain janji jam 9 hari ini di kirim.sampe sekarang ga di gubris sama tokped nya. . . parah,negative
tidakbisa buat komplain. Proses Upload Bukti dan keterangan ERROR! Saya suka tokped YANG DULU. Yang sekarang banyak merugikan pembeli..,negative
"bagus sih gampang lagi,tapi kok pas mau pembayaran gak bisa sih?ada kesalahan apaan?cepat di perbaiki ya kak,soaonya sayang loh tokopedia udah bagus menurutku,sukses kedepannya ya kak di tunggu perbaikannya makasih^^ pliss perbaiki secepatnya kak",positive
Saya sangat senang.... Ini adalah pembelian online pertama dari saya dan saya merasa puas atas hasilnya... Awalnya saya ragu untuk pesan online tapi saya mencoba dan hasilnya sesuai yang diharapkan.... Pesan dari saya: Untuk mendapatkan hasil yang maksimal saya merekomendasi untuk memesan barang di toko resmi seperti Official Store..,positive
"Masih banyak kalau ingin promosi di aplikasi lain, jangan malah di tempat yang hanya akan menambah ke risihan konsumen, tolong tempat kan suatu tempat nya itu pada tempat yang tepat, jangan hanya menguntungkan sebelah pihak saja. Kalau di sini kan sama saja hanya untuk menguntungkan sebelah pihak saja, sedangkan pengguna ponsel merasa terganggu dengan sangat amat, di karna kan pengguna ponsel di saat ingin melakukan pengunduhan, tapi malah di lempar kan ke aplikasi yang lain.",negative
"selama saya menggunakan toped baik2 saja gak da kendala. lbh baik konsumen pintar dlm mmbeli. pilih2 jgn semua barang di beli online. cth: hp, klo mau aman mending beli hp di outlet khsus spy klo ada kendala bs lsg di tangani. tp apakah semua konsumen pintar sprt itu?, repot sdikit tp aman dari pada praktis tp tragis",positive
"mohon bantuannya, kenapa saya tidakbisa memilih saat di halaman metode pembayaran lainnya, halamanny terus refresh di tempat yg sama",negative
tokped tolong segera di proses mengenai pembelian gift card saya yang kode sudah terpakai sudah 1 minggu lebih belum ada hasil saya inbox juga tdk dbalas,negative
"tidakapa apa saya kasih bintang 5 aja, tapi tolong apa yg sudah baik tetaplah baik dan mudah""an menjadi lebih baik lagi. Utk memberi semangat kepada pengguna Applikasi Tokopedia, tolong Chashback Voucher utk tagihan Produk digitalnya seperti : PLN, TOKEN PLN, BPJS, PDAM dan lain sebagainya. Seperti contoh: TOPED, OVOTOPED, DGTOPED, GAJIANSERU, BAYARTERUS dan lain sebagainya. Tolong semuanya jangan sampai dihilangkan atau ditiadakan. Karna hal ini utk menjaga pindah ke lain hati, mohon tetap ada",positive
saya sudah uninstall tokped.pengembalian dana belanja memakan waktu 3 bulan lamanya.kalo proses pengiriman gagal jangan automatis lakukan pembayaran ke penjual.,negative
"saya sudah lama mengguanakan aplikasi tokped tetapi entah kenapa akhir"" ada sedikit gejala disaat melakukan transaksi pembayaran. disaat saya ingin melakukan pembayaran menggunakan cara lain kenapa tidakbisa ya? sudah saya coba dari tanggal 26 tidakmau. tolong ini di perbaiki",negative
awalny good bgt tokped sangat membantu... tp akhir2 ini sya mau selesaikan pembayaran tidakmerespon...dan selalu gagal... lalu sya coba pusat bantuan hasil sama sya klik pusat permasalahan juga tdk bisa... tolong di perbaiki...terima kasih...,negative
"mana ini rincian transaksi tidakada barang favorit hilang catatan transaksi ga ada ga bisa lihat barang yang sudah di bayar tapi di keranjang udah hilang mohon di bantu ribet kalo harus cek di web, buat apa dong aplikasi ini",negative
"Kekurangan sebelumnya Loadingnya Lama, Loading sangat Gambar lama ! Bagi Toko, harap cepat-cepat Prosesnya, karna Tujuan Belanja Oline adalah Memudahkan, Praktis dan Mempercepat Proses Belanja !",positive
"tokped kini tidakmemihak kepada UKM Macam anak kost , semakin tidakbersahabat . Krna fitur promo perJam nya telah hilang . Sangat kecewa dengan perubahanNya . Pengen tau siapa si yang bikin usul Fitur Promo gratis perJam nya di hilangkan . Semoga itu manusia Rezeki nya sama kayak Anak kost",negative
per 1 juli update ini. sangat merugikan kita sebagai penjual. produk yg dijual akan dipotong 1%. jika sy jual grosiran 100juta maka akan dipotong 1jt (1%) nya. untg kita sbgai penjual ud tipis makin tipis. keenakan tokop*dianya# kecewa.,negative
"tokped MATRE. Jualan di tokped sekarang bikin rugi. Sekarang minimal biaya topads per klik Rp. 350. Padahal saya biasa pakai Rp.100 per klik. Yang bener saja. Untung cuma beberapa puluh ribu perhari, sekarang biaya iklannya jadi ratusan ribu rupiah perhari. Bukannya untung malah buntung. Mending gak usah jualan di tokped lagi.",negative
"balik lagi kayak dlu ya setelah diupdate, pembelian pakai OVO langsung klik tanpa konfirmasi di OVO. buat saya ngeri aja kalau pas yang pakai aplikasi orang lain",negative
"ita coba...bagus... bintang full (update)ok...keluhan sudah dikirim,respon pihak tokopedia cepat,jadi bintang sata kasih full,yah walau kendalanya sedikit aneh",positive
"kemarin saya melakukan pembelian tiket pesawat pulang pergi dari bandung ke pekanbaru, biarpun saya sudah mengirim uang pembayaran, pembelian tiket tersebut gagal dan uang yang saya kirim tidakdikembalikan, lalu saat saya cek di daftar transaksi tiket pesawat yang gagal, transaksi tersebut tidakada, dan setelah saya melaporkan ke cs sampai sekarang masih belum ada balasan",negative
"makasih tokopedia memudahkan saya berbelanja produk dan toko terpercaya dan jujur semoga tambah sukses dan jaya trs,,makasih juga hadiah nya susu ultra wktu bln ramadhan",positive
Menghadapi custamer atau pelanggan dengan beragam karakteristik dan target menjadi tantangan terbesar keseharian saya. Tanggung jawab saya meliputi: membantu dan mencari barang yang sesuai dengan permintaan pelanggan. Tanggung jawab kedua mencakup menerima komplain atau keluhan dari pelanggan atas pelayanan yang saya berikan.,positive
kenapa lama sekali verifikasi pembayaran via transfer bank? bahkan saya sudah sertakan bukti transaksi juga tidakkunjung diverifikasi. menyebabkan keterlambatan ini namanya! kecewa dengan Toped yang sekarang,negative
aplikasi terbaru sangat buruk. sering eror. lambat. ga di aplikasi ga di browser sama aja. proses transaksi jadi lama sekali,negative
aplikasi ini sangat bagus untuk saya yg gak sempat ke toko untuk mencari barang yg saya butuh kan,positive
jualan di tokped skarang slalu boncos atau rugi melulu. saran saya biaya per klik di tokped harus dinaikkan lagi menjadi Rp50.000/ klik nya agar usaha tokped makin sukses tapi seller semakin bangkrut ya. *** semoga semakin sukses buat tokped*,negative
"Aplikasi online paling terpercaya! paling aman, mudah, praktis puas sekali deh pake tokopedia. Tapi mohon diperbaiki dimana tidakbisa menggunakan kupon (padahal sudah memenuhi syarat) 🙏",positive
plikasi jancukk... Ngadain promo tapi ga bisa ga bisa di gunakan promonya.. Casbeck di batalkan spihak.. Akun di diskulifikasi sepihak.. Alasnya semau lih aja... Klo ada promo ga bisa ikut promo... Mending blnja di shopi aja.. Udah jelas2 gratis ongkir.... Sialan lohhh,negative
Improvisasi aplikasi sudah bagus. Namun sangat disayangkan Call Center tidaktersedia. Padahal itu hal yang penting untuk menanggapi keluhan pelanggan dengan cepat. Sekarang hanya ada fitur live chat dan pelayanannya sangat lambat. Jauh di bawah kualitas pelayanannya dibanding Bukalapak,negative
"Paket terakhir sudah sampai, bertanda berakhir juga saya mengunakan tokped,setelah sekian lama berlanganan,""Pedagang adalah raja di sini""",negative
"KECEWA BANGET SAMA tokped tidakbisa MENGUBAH METODE PEMBAYARAN..!!! KALAH SAMA SHOPEE,SHOPEE BISA MENGUBAH METODE PEMBAYARAN DAN CARA NYA GAMPANG BANGET...!! SAYA HARAP DARI PIHAK Tokped UNTUK MENGUPDATE LEBIH BAGUS LAGI,DAN KALO BISA MENGUBAH METODE PEMBAYARAN AGAR WARGA INDONESIA BISA LEBIH MUDAH...!! MAKASIH",negative
"semakin asyik berbelanja, cukup via aplikasi..hemat waktu dan banyak pilihan...saat kita menginginkan satu barang, tetapi tidakbisa meninggalkan pekerjaan cukup dengan aplikasi Tokopedia kita dapat terbantu, selesai pekerjaan dan barang yg kita inginkan akhirnya dapat kita miliki. Disamping kita menginginkan sesuatu barang kita juga dapat menginformasikan apa yg kita akan jual ke konsumen...nah timbal balik ini merupakan Tokopedia menjadi perdagangan yang asyik dan bermanfaat buat semua orang..",positive
"saya sering mendapat hadia keberuntungan pengguna OPPO setia. info meminta untuk menginstal aplikasi tokped, tapi setelah saya instal dan membuka aplikasinya kok tidakada yang muncul pemberitahuan untuk mendapatkan hadiahnya, pentunjuk menjalankan aplikasinya untuk mendapatkan hadiahnya pun tidakada. hanya terus meminta untuk menginstal aplikasi. padahal aplilasinya sudah lama saya download. Admin mohon infonya lebih lanjut. !!!!!!!",negative
saya mesan barang ditanggal 28 juni 2019 menggunakan JNE YES. namun hingga saat ini 30 juni 2019 barang juga belum sampai. no resi dicoba di trace and tracking malah tidakditemukan,negative
"saya punya dua orderan. saya closing transaksi satu orderan, la koch semua orderan ikut closing transaksi. pdhal yg satu saya belum terima barangnta mau nanya ke admin tokped pake jalur bantuan, ga ada menunya. aneh..",negative
Tingkatkan dan pertahankan terus pelayanan tokopedia yg sdh bagus. Bisa bayar segala macam tagihan sekaligus belanja di tokopedia. Tapi koq bulan Juli ini sepi promo cashback pembayran tagihan sich..Tolong diadakan lg dong...,positive
"Saya suka dan puas dengan aplikasi tokped, bisa melacak paket kita dimana, tapi ada yang kurang menurut saya dari pelacakan itu, tokped hanya memberi tau tempat tujuan paket itu datang kemana, tapi tidakterhubung dengan Google maps, kalau bisa terhubung nama lokasi tujuan paket itu dengan Google maps, mungkin lebih lengkap lagi dari pelacakan paket itu sendiri, terima kasih",positive
"Mantap pembayaran angsuran kredit menggunakan mandiri debit,waktu 00.00 tidakdapat melakukan transaksi menggunakan kode mandiribdg tetapi ketika waktu 00.01 di tekan kembali tulisannya berubah menjadi kuota sudah habis,gilak cepat banget tuh tangan orang atau ada unsur penipuan di dalamnya sama seperti di aplikasi sebelah.yg bermain pekerjanya juga berarti judulnya bukan event untuk umum melainkan event khusus pekerja tokped.selamat tokped atas tipu dayanya,perjuangkan terus.",negative
"mau tanya tokped lagi gangguan teknis pada pembayaran apa,ko saya dari kemaren mau pembayaran ga bisa bisa ini lagi banyak orderan lagi tolong pak segera di perbaiki lah",negative
"maaf, kenapa ya setelah diupdate kok malah nggak bisa buka whislit, katanya ada masalah pada server, padahal jaringannya normal. pas dibuka ulang beberapa kali tetap nggak bisa. pas dibuka langsung dari play store whislit nya juga nggak bisa dibuka. tolong solusinya ,secepatnya yaaa.",negative
"Overall Bagus. Tapi saran saya mohon ditingkatkan lagi untuk sistem pengiriman instant/same day. Bila pembeli memilih pengiriman same day, seharusnya waktu konfirmasi dan pengiriman oleh penjual jg HARUS di hari yg sama. Bila penjual baru konfirmasi dan dikirim keesokan harinya sama saja dengan merugikan pembeli. Apalagi mengingat jasa pengiriman instant / same day itu lebih mahal daripada jasa pengiriman lainnya.",positive
"menu pembayaran macet saat pembayaran transfer bank BCA (saat pembayaran tidakbisa klik bayar), mau rubah metode pembayaran lainnya juga tidakbisa, coba install ulang dan coba lagi tetap juga macet",negative
"menurut saya sebagi pelanggan, aturan 1% toko power merchant itu mempengaruhi pembelian. di karenakan pedagang menaikan harga jualnya. saya akan jadi pembeli kembali setelah peraturan 1% power merchant di hapus.",negative
"dear tokped kenapa tambah kesini tambah pelit ama cash back tidakseperti dulu,setiap pembelian 1.300.000 dapet cashback 100.000,sekarang malah engga ada cash back sama sekali.padahal saya belanja di tokped seminggu bisa 2 kali",negative
"kapok ke tokped, salah transfer uang nggak dibalikkin, udah disalin bukti transfer karena bayar via hp tetap aja harus diphoto rugi saya. pengalaman jangan salah transfer uang nggak dibalikkin tuh!",negative
"Alhamdulillah Tokopedia pelayanannya sangat mantap kemarin saya belanja kasur angin 1 set terdiri dari kasur, bantal dan pompa dalam waktu yang cepat telah dikirim kerumah mantap bisa dibuat langganan belanja.",positive
"aplikasinya sih bagus.... tp yg saya tidaksuka, aplikasi ini memaksa usernya utk update. kalau tidakmaka aplikasi ini tidakbisa digunakan.. tolong ini diperbaiki, agar pengguna tetap dapat memanfaatkan app ini tanpa harus uodate sekalipun. mengingat memori ponsel para user tidaksemua sama dalam jumlah yg besar yg dapat menampung banyak memori!",positive
saya mau menggunakan saldo saya dan saya sudah memasukan kode untuk menggunakan saldo saya tapi kenapa tidakbisa / tidakvalid ... bagaimana caranya untuk mengganti kode untuk membuka saldo saya ??? .... tolong dong ya di jawab 😖😖 soalnya saldo saya ada banyak,negative
"toped tidakmenyediakan dengan jelas kurir yang akan digunakan untuk pengiriman seperti dulu, pilihan pengiriman yang digunakan dalam aplikasi hanya durasi, tapi tidakmenyediakan jasa kurir yg jelas, contohnya JNE atau JNT, sehingga sangat menyulitkan, karena kita sdh terbiasa dengan jasa pengiriman yg sdh terbukti kualitasnya, kalau masih seperti ini, mungkin beralih ganti aplikasi yg lebih baik",negative
plus minus lah ada siang ada malam.. ada uang mau beli apa aja ada.. trus saya mau beli apa ya? bingung gak cukup duitnya bagi duit lah buat belanja.. Kan tokped duitnya banyak ayo lah admin.. please bagi duit..,positive
"ini gimana si ka? sya pgn bayar tokped lewat indomaret gabisa,rekening gabisa,alfamidi jga gbsa. sya pgn klik tombol BAYAR knpa masi gabisa? dri tadi pagi smpe mlm,sya ulang berulang kali masii ttep aja gabsa. tolong diperbaiki lagi ka",negative
Sangat membantu pengalaman berbelanja di jaman modern. Pengalaman pertama belanja online langsung merasa puas. Aman dan terpercaya..,positive
"Kenapa saya harus buat toko lg, semua produk dan foto2 ada di toko. padahal hari ini baru kirim barang. terus saya buka aplikasi tokped tidakbisa di buka.",negative
"baru hari ini mau cek comment jualan, pas dibuka trnyata error.. nama akun bwt beli ga keliatan, kupon yg ada 3 jd ilang, kupon undoan ada 14 jd ilang, akun jualan namanya jd ga ada(kyk seolah2 blm punya akun jualan & bikin baru), ga bs lihat pesan/wishlist/diskusi..makin upgrade bukannya makin bagus, makin sering error gini.. ganti tim IT nya klo kyk gini & Juli ini terulang lg, kupon undian ga ilang, tapi saldo jualan 0..sering bgt errornya di saldo, awas2 sampe bnr2 hilang duit yg di saldo",negative
"sebagai pelanggan setia terlalu banyak kecewa atas pelayanan yang di berikan, dan bantuan yang di berikan dalam.mengatasi masalah atau keluhan pelanggan semua tidakada gunanya dan tidakada solusi yang mampu diberikan kepada konsumen oleh pihak tokped, tolong benahi kinerjanya dan profesional dong dalam menangani.masalah lihat inti masalahnya jangan asal cuap cuap aja, saya sebagai komsumen sangat kecewa ini bukan yg pertama kalinya",negative
"Sangat disayangkan tokped kurang inovasi baru, berbagai toko online sudah mempunyai feature pengiriman gratis dengan syarat minimal pembelanjaan, tapi tokped masih dengan feature lamanya. sekarang banyak orang hanya menggunakan tokped sebagai optional terakhir dalam belanja online. percaya atau tidak, lambat laun banyak orang akan mencopot aplikasi ini bila tidakada inovasi baru.",negative
"tolong diperbaiki yg dikeranjang tidakbisa dihapus ada pesan 'maaf, terjadi sedikit kendala. coba ulangi beberapa saat lagi ya' padahal ada barang yg sudah gak saya inginkan jd menumpuk karena ga bisa dihapus",negative
"janji layanan burukkk Jadi saya pesan barang sudah sesuai ketentuan merek dan gambarnya sudah konfirmasi dengan penjual, tapi barang yang datang berbeda trus saya komplain ke penjual tidakdirespon, kemudian saya komplain melalui pusat bantuan lama banget ngurusin barang kecil doang dengan alasan penjual tidakmerespon, mau sampe kapan tunggu2an respon? Mau sampai saya lupa? Haha",negative
"sangat kecewa saya hampir aja kena tipu sama salah satu penjual di Merchant tokped. tolong dong tindak lanjuti penjual dengan nama toko ""Indah Tirta"" dia hampir saja mau menipu saya...dengan Modus ingin memberikan cashback 10% tapi minta kode verifikasi tokped saya... dan akhirnya akun saya di retas oleh si penjual, untungnya saya langsung sadar kalo saya mau ditipu... jadi saya langsung membatalkan barang yang saya beli di toko dia",negative
tidakbertanggung jawab dan kurang respon terhadap pelanggan yang merasa ditipu oleh penjual produk. ini terjadi pada suami saya yang beli barang dan waktu pengiriman barang sesuai ongkos tertera satu hari ternyata 5 hari baru tiba... isi barang tdk sesuai dengan yang tertera di label paket hanya di straples aja bungkus paketnya... ini tokped tdk respon akan keluhan pelanggan,negative
saya pengguna lama tokped sangat kecewa sekarang sekarang ini untuk transaksi pembayaran tidakterus..tolong diperbaiki. paraah aplikasi tokped sekarang ini. tidakbisa dihubungi layanan ini. kecewaa,negative
"Masih kurang lengkap untuk metode pembayaran agar diperlengkap lagi Banknya. masalah yang sering timbul masi banyak Seller yang mengecewakan. barang tidaksesuai gambar & Deskripsi (menjadi salah satu kecurangan yang masih diizinkan di Aplikasi ini). dan proses tunggu respon dengan jeda waktu yang terlalu lama. itu hanya sedikit masalh dlm Toped selebihnya Bagus. dan terimakasih untuk para seller Jujur, semoga usahanya diperlancar",negative
"Setiap kali transaksi di topet, sekalipun barang nggak pernah datang tepat waktu, itu ttp coba saya maklumin. Tapi yang terakhir ini. Saya minta pengiriman satu hari, barang baru datang seminggu, kan anjing... CS responnya lama nggak ikut membantu dan tanpa tanggungjawab, malah menyuruh saya menghubungi kurir. Dah uninstall pindah ke Shopee.",negative
tokopedia makin oke...akhirnya sesuai harapan sy bisa dicopas tapi syg sy masih blm bisa upgrade ke ovopoint krn ktp sy msh berupa resi...dan selalu gagal diproses...,positive
kenapa ya tokped saya ga bisa nyelesain pembayaran.... manual transfer BRI dr indomaret dll tidakmuncul kenapa biasa nya bisa mohon bantuan nya...nti saya kasih bintang 5 akun saya di tokped atas nama suami Teguh rinaldi,negative
"terlalu ribet dan tidakteratur. kupon promo juga ribet harus disalin dan dicoba satu-persatu, banyak menyita waktu. tidakseperti toko sebelah lebih gampang",negative
"saya sdh mendengar banyak dari teman d saudara saudara sy tentang kelebihan belanja on line di tokopedia,karena barang yang di kirim sesuai dengan keinginan pembeli dan ukuranpun sama sesuai pesanan tapi sy baru instal aplikasi ini sehingga saya belum memiliki pengalaman belanja di tokopedia mudah mudahan aplikasi ini bisa bermanfaat bagi saya,terima kasih..",positive
"tolong konfirmasi kesalahan pengiriman secepatnya,ini saya beli barang sampe sekarang belum ada padahal udah mesen dari sebelum jam 4sore dan saya pilih grab instan,tapi email yg masuk malah barang sudah diterima,tolong sebelum bilang barang sudah diterima dicek dulu itu barang diterima siapa!!! jangan jadi akun penipu,ini sudah termasuk penipuan!!! segera ditindak lanjuti",negative
"yg lain udh ngadain promo undian barang mewah dengan harga gak sampai 20ribu, plus jaminan uang kembali jika tdk beruntung",negative
"saya turunin bintangnya, aneh ini aplikasi di hp saya lemot sekali, padahal aplikasi yang lain lancar cupa tokped yg lemot, udah segala cara saya coba update versi terbarupun sudah tapi tetap lemot tolong bagimana solusinya",negative
knapa udh 3 hari ini tokped down pas saat mau pembayaran bnyak yg down pas saya mau cari bantuan ternyata sama saja pusat bantuan juga down tolong di perbaiki dan saya udh dm di Instagram gk ada respon untuk kali ini 3 dolo,negative
pertama2 saya ucapkan trimakasih kepd tokopedia karna barng yg aku inginkan tlah aku dapatkan dan tokopedia tempat utk mencari barang kebutuhan apa saja ada disana mudan dan praktis dan barang yg kita pesan cepat wktu dan barang yg kita pesan aman,positive
sangat mengecewakan mau bayar pesenan malah error pdhl tinggal milih metode pembayaran sebelum di update normal2 saja . 1 tahun lebih langganan aplikasi ini makin ke sini makin hancur. sangat kecewa,negative
transaksi lebih aman dan terpercaya serta memberikan kemudahan untuk kita dalam membeli produk yang kita inginkan tanpa harus repot dan takut barang yang kita beli tidaksesuai ataupun tidaksampai dengan mekanisme pembayaran atau transaksi yang sudah tokopedia tentukan kita di berikan kemudahan untuk bisa menukar dan komplain serta mengecek produk dari hand phone tanpa harus bingung dan repot pokoknya membeli produk di tokopedia recomended jadi jangan ragu untuk bertransaksi 👍,positive
pada saat saya hampir di tipu 7 juta saya langsung kirim email ke tokped dan respon cepat untuk tindak lanjut saya di telepon dari pihak tokped lalu pihak tokped blokir toko penipuan nyaa dan uang saya kembali,positive
SEKARANG ADA MASALAH LAGI. saat beriklan di tokped dengan Berbayar (TOP ADS) kenapa saya dipaksa mininal klik 350. itu sangat tinggi untuk produk saya yg jarang laku! dulu bisa Rp 50 per klik sekarang dipaksa Rp 350/klik itu Gila. tokped Gila cari Duit gak Halal. maksa maksa. tolong dipertinbangkan ulang! saya mewakili seluruh penjual kecewa berat. otomatis diset di harga Klik tinggi. + pas checkout beli barang. macet inputnya,negative
"nyesel beli di tokped saya beli batray hp dari tanggal 4 april sampai saat ini barang belum datang uang pun belum kembali oiya saya beli di toko ""mekkanizm acc"" ketika di tanyakan pihak tokonya. slow respon kadang2 gak di balas ada yang di baca doang seperti tidakbertanggung jawab. saya menulis ulasan ini bertanggung jawab dunia akhirat saya tidakmengada2",negative
"Barangnya sudah sampai, makanya jangan larang Dropshipper konfirmasi pengiriman ya. Ribet kan jadinya, saya rugi sampai satu juta karena sistem kalian melarang kami Dropshipper tidakmengkonfirmasi pengiriman. Jangan asal menghimbau, saya tidaktau lagi harus bagaimana mengkonfirmasi pesanan yang telah terkirim. Harusnya kalian yang berubah. Tolong bolehkan Dropshipper mengkonfirmasi pengiriman, saya suda rugi sejuta gara2 sistem dropship kalian yang tidakjelas dan menipu",negative
Kalau ada barang bayar di tempat langsung saya kasih bintang 5 ya sekarang saya kasih bintang 3 aja dulu. .saya puas belanja di tokopedia namun saya juga masih belum puas karena tidakada sistem bayar barang di tempat. .mudah mudahan bisa di perbaiki dan mudah mudahan saran saya di terima. .pembeli senang barang bagus dan aman harga murah meriah hatipun gembira terima kasih tokopedia udah menyediakan pembayaran OVO nya. .,positive
"Memang sekarang banyak orang berbuat curang yang merugikan tokopedia, misal dengan membuat lebih dr 1 akun demi menikmati keuntungan dr tokopedia. Untuk menjamin bahwa 1 pengguna hanya 1 akun pakai verifikasi ktp kan bisa, pakai 1 akun di tuduh lebih dari 1 akun, akhirnya terjadi pembuatan cashback, hargapun lebih mahal jadinya. Kalo perlu verifikasi ktp dan KK biar ga di tuduh pakai lebih dr 1 akun.",positive
"Halo admin, saya mengalami sedikit kendala yaitu tiap mo membuka jendela 12 product berikutnya terlalu lama, mohon di perbaiki. Dan juga untuk batas harga dari minimum dan maximum kalau bisa di beri pilihan manualnya karna kalau hanya mengikuti pilihan yang ada terlalu banyak product yang di tampilkan dan tidaksesuai dgn yang di harapkan. Terimakasih",negative
"Variasi dan harga barang lebih lengkap dari toko lain, tapi tolong perbanyak promo gratis ongkir seperti toko sebelah.",positive
"aplikasi Tokopedia sangat bagus dalam bertransaksi online. barang bagus. proses pembelian gak ribet. CS-nya peduli apabila customernya mengalami kendala. contoh : lupa kata sandi, dsb. Kalau bisa, cashback yang diberikan di suatu barang, itu bisa digunakan sebagai diskon untuk barang tersebut.",positive
