text,label
"selama pakai tokopedia sangat memuaskan dan keluhan, permasalan yg saya alami dapat di selesaikan dengan baik. pertahankan terus tokopedia dan tingkatkan lagi kelengakapan barangnya",positive
"saya selalu puas dengan layanan tokopedia, dengan adanya tokopedia memberi kemudahan bagi saya untuk mendapatkan barang yang saya butuhkan, tq tokopedia",positive
"beli di tokped siang transaksi sudah dibayar lewat link, nunggu konfirmasi nah pas sekarang dicek ga ada transaksi transaksi sama sekali kemana hilangnya? pengen komplain ga bisa kan ga ada transaksi nya padahal siang ada jadi gimana masa iya hangus uangnya",negative
"nyesel banget nyobain beli pulsa di tokped mubadzir. statusnya menunggu konfirmasi operator terus, disuruh nunggu 1x24 jam, emang pake jasa ekspedisi kirim pulsanya, gak bisa diandelin banget, ujungâ²nya beli ditempat lain yg lebih cepat.",negative
"hallo,... kepada tokopedia. trimakasih atas pelayanannya, untuk tampilan, dan beberapa fitur untuk update pada kali ini saya rasa sudah cukup baik, dan cukup memuaskan. namun, sy minta tolong terkait fitur cetak (print) yang ada pada invoice, itu tidak dapat digunakan atau tidak bekerja. saya berharap agar fitur itu segera diperbaiki, trimakasihðð",positive
"sangat baik dan memuaskan,semakin senang belanja di tokopedia, pelayanan nya cepat, barang berkwalitas, pengiriman cepat,sebagai pembeli saya merasa di hargai, semboyan "" pembeli adalah raja"", diterapkan di tokopedia. apabila ada pembatalan dari pembeli, uang cepat dikembalikan. tanpa ada tarik ulur, pada saat pengembalian uang. apabila ada promosi selalu diberikan sesuai dengan ketentuan yang ada. sulit bagi saya untuk berpaling dari tokopedia,saya berharap pelayanan ditingkatkan terus.",positive
"sangat membantu, paling tidak untuk membantu perbandingan harga, serta mempelajari quality barang yang diminati. selain itu kita bisa piluh barang sesuai yang kita inginkan.",positive
proses pembelian barang bagus. sesuai dgn gambar yg di upload. tdk menipudgn kata kata yg menarik org utk membeli produk. uang aman,positive
kacau pesanan lewan grab gojek di batalkan.. padahal pesan hari jumat. pake yg 6 jam. sampe sekarang belum sampe.ga ada kepastian.. dari pihak tokped sudah komplain janji jam 9 hari ini di kirim.sampe sekarang ga di gubris sama tokped nya. . . parah,negative
tidak bisa buat komplain. proses upload bukti dan keterangan error! saya suka tokped yang dulu. yang sekarang banyak merugikan pembeli..,negative
"bagus sih gampang lagi,tapi kok pas mau pembayaran gak bisa sih?ada kesalahan apaan?cepat di perbaiki ya kak,soaonya sayang loh tokopedia udah bagus menurutku,sukses kedepannya ya kak di tunggu perbaikannya makasih^^ pliss perbaiki secepatnya kak",positive
saya sangat senang.... ini adalah pembelian online pertama dari saya dan saya merasa puas atas hasilnya... awalnya saya ragu untuk pesan online tapi saya mencoba dan hasilnya sesuai yang diharapkan.... pesan dari saya: untuk mendapatkan hasil yang maksimal saya merekomendasi untuk memesan barang di tokopedia resmi seperti official store..,positive
"masih banyak kalau ingin promosi di aplikasi lain, jangan malah di tempat yang hanya akan menambah ke risihan konsumen, tolong tempat kan suatu tempat nya itu pada tempat yang tepat, jangan hanya menguntungkan sebelah pihak saja. kalau di sini kan sama saja hanya untuk menguntungkan sebelah pihak saja, sedangkan pengguna ponsel merasa terganggu dengan sangat amat, di karna kan pengguna ponsel di saat ingin melakukan pengunduhan, tapi malah di lempar kan ke aplikasi yang lain.",negative
"selama saya menggunakan toped baik2 saja gak da kendala. lbh baik konsumen pintar dlm mmbeli. pilih2 jgn semua barang di beli online. cth: hp, klo mau aman mending beli hp di outlet khsus spy klo ada kendala bs lsg di tangani. tp apakah semua konsumen pintar sprt itu?, repot sdikit tp aman dari pada praktis tp tragis",positive
"mohon bantuannya, kenapa saya tidak bisa memilih saat di halaman metode pembayaran lainnya, halamanny terus refresh di tempat yg sama",negative
tokped tolong segera di proses mengenai pembelian gift card saya yang kode sudah terpakai sudah 1 minggu lebih belum ada hasil saya inbox juga tdk dbalas,negative
"tidak apa apa saya kasih bintang 5 aja, tapi tolong apa yg sudah baik tetaplah baik dan mudah""an menjadi lebih baik lagi. utk memberi semangat kepada pengguna applikasi tokopedia, tolong chashback voucher utk tagihan produk digitalnya seperti : pln, token pln, bpjs, pdam dan lain sebagainya. seperti contoh: toped, ovotoped, dgtoped, gajianseru, bayarterus dan lain sebagainya. tolong semuanya jangan sampai dihilangkan atau ditiadakan. karna hal ini utk menjaga pindah ke lain hati, mohon tetap ada",positive
saya sudah uninstall tokped.pengembalian dana belanja memakan waktu 3 bulan lamanya.kalo proses pengiriman gagal jangan automatis lakukan pembayaran ke penjual.,negative
"saya sudah lama mengguanakan aplikasi tokped tetapi entah kenapa akhir"" ada sedikit gejala disaat melakukan transaksi pembayaran. disaat saya ingin melakukan pembayaran menggunakan cara lain kenapa tidak bisa ya? sudah saya coba dari tanggal 26 tidak mau. tolong ini di perbaiki",negative
awalny good bgt tokped sangat membantu... tp akhir2 ini sya mau selesaikan pembayaran tidak merespon...dan selalu gagal... lalu sya coba pusat bantuan hasil sama sya klik pusat permasalahan juga tdk bisa... tolong di perbaiki...terima kasih...,negative
"mana ini rincian transaksi tidak ada barang favorit hilang catatan transaksi ga ada ga bisa lihat barang yang sudah di bayar tapi di keranjang udah hilang mohon di bantu ribet kalo harus cek di web, buat apa dong aplikasi ini",negative
"kekurangan sebelumnya loadingnya lama, loading sangat gambar lama ! bagi tokopedia, harap cepat-cepat prosesnya, karna tujuan belanja oline adalah memudahkan, praktis dan mempercepat proses belanja !",positive
"tokped kini tidak memihak kepada ukm macam anak kost , semakin tidak bersahabat . krna fitur promo perjam nya telah hilang . sangat kecewa dengan perubahannya . pengen tau siapa si yang bikin usul fitur promo gratis perjam nya di hilangkan . semoga itu manusia rezeki nya sama kayak anak kost",negative
per 1 juli update ini. sangat merugikan kita sebagai penjual. produk yg dijual akan dipotong 1%. jika sy jual grosiran 100juta maka akan dipotong 1jt (1%) nya. untg kita sbgai penjual ud tipis makin tipis. keenakan tokped*dianya# kecewa.,negative
"tokped matre. jualan di tokped sekarang bikin rugi. sekarang minimal biaya topads per klik rp. 350. padahal saya biasa pakai rp.100 per klik. yang bener saja. untung cuma beberapa puluh ribu perhari, sekarang biaya iklannya jadi ratusan ribu rupiah perhari. bukannya untung malah buntung. mending gak usah jualan di tokped lagi.",negative
"balik lagi kayak dlu ya setelah diupdate, pembelian pakai ovo langsung klik tanpa konfirmasi di ovo. buat saya ngeri aja kalau pas yang pakai aplikasi orang lain",negative
"ita coba...bagus... bintang full (update)ok...keluhan sudah dikirim,respon pihak tokopedia cepat,jadi bintang sata kasih full,yah walau kendalanya sedikit aneh",positive
"kemarin saya melakukan pembelian tiket pesawat pulang pergi dari bandung ke pekanbaru, biarpun saya sudah mengirim uang pembayaran, pembelian tiket tersebut gagal dan uang yang saya kirim tidak dikembalikan, lalu saat saya cek di daftar transaksi tiket pesawat yang gagal, transaksi tersebut tidak ada, dan setelah saya melaporkan ke cs sampai sekarang masih belum ada balasan",negative
"makasih tokopedia memudahkan saya berbelanja produk dan tokopedia terpercaya dan jujur semoga tambah sukses dan jaya trs,,makasih juga hadiah nya susu ultra wktu bln ramadhan",positive
menghadapi custamer atau pelanggan dengan beragam karakteristik dan target menjadi tantangan terbesar keseharian saya. tanggung jawab saya meliputi: membantu dan mencari barang yang sesuai dengan permintaan pelanggan. tanggung jawab kedua mencakup menerima komplain atau keluhan dari pelanggan atas pelayanan yang saya berikan.,positive
kenapa lama sekali verifikasi pembayaran via transfer bank? bahkan saya sudah sertakan bukti transaksi juga tidak kunjung diverifikasi. menyebabkan keterlambatan ini namanya! kecewa dengan toped yang sekarang,negative
aplikasi terbaru sangat buruk. sering eror. lambat. ga di aplikasi ga di browser sama aja. proses transaksi jadi lama sekali,negative
aplikasi ini sangat bagus untuk saya yg gak sempat ke tokopedia untuk mencari barang yg saya butuh kan,positive
jualan di tokped skarang slalu boncos atau rugi melulu. saran saya biaya per klik di tokped harus dinaikkan lagi menjadi rp50.000/ klik nya agar usaha tokped makin sukses tapi seller semakin bangkrut ya. *** semoga semakin sukses buat tokped*,negative
"aplikasi online paling terpercaya! paling aman, mudah, praktis puas sekali deh pake tokopedia. tapi mohon diperbaiki dimana tidak bisa menggunakan kupon (padahal sudah memenuhi syarat) ð",positive
plikasi jancukk... ngadain promo tapi ga bisa ga bisa di gunakan promonya.. casbeck di batalkan spihak.. akun di diskulifikasi sepihak.. alasnya semau lih aja... klo ada promo ga bisa ikut promo... mending blnja di shopi aja.. udah jelas2 gratis ongkir.... sialan lohhh,negative
improvisasi aplikasi sudah bagus. namun sangat disayangkan call center tidak tersedia. padahal itu hal yang penting untuk menanggapi keluhan pelanggan dengan cepat. sekarang hanya ada fitur live chat dan pelayanannya sangat lambat. jauh di bawah kualitas pelayanannya dibanding bukalapak,negative
"paket terakhir sudah sampai, bertanda berakhir juga saya mengunakan tokped,setelah sekian lama berlanganan,""pedagang adalah raja di sini""",negative
"kecewa banget sama tokped tidak bisa mengubah metode pembayaran..!!! kalah sama shopee,shopee bisa mengubah metode pembayaran dan cara nya gampang banget...!! saya harap dari pihak tokped untuk mengupdate lebih bagus lagi,dan kalo bisa mengubah metode pembayaran agar warga indonesia bisa lebih mudah...!! makasih",negative
"semakin asyik berbelanja, cukup via aplikasi..hemat waktu dan banyak pilihan...saat kita menginginkan satu barang, tetapi tidak bisa meninggalkan pekerjaan cukup dengan aplikasi tokopedia kita dapat terbantu, selesai pekerjaan dan barang yg kita inginkan akhirnya dapat kita miliki. disamping kita menginginkan sesuatu barang kita juga dapat menginformasikan apa yg kita akan jual ke konsumen...nah timbal balik ini merupakan tokopedia menjadi perdagangan yang asyik dan bermanfaat buat semua orang..",positive
"saya sering mendapat hadia keberuntungan pengguna oppo setia. info meminta untuk menginstal aplikasi tokped, tapi setelah saya instal dan membuka aplikasinya kok tidak ada yang muncul pemberitahuan untuk mendapatkan hadiahnya, pentunjuk menjalankan aplikasinya untuk mendapatkan hadiahnya pun tidak ada. hanya terus meminta untuk menginstal aplikasi. padahal aplilasinya sudah lama saya download. admin mohon infonya lebih lanjut. !!!!!!!",negative
saya mesan barang ditanggal 28 juni 2019 menggunakan jne yes. namun hingga saat ini 30 juni 2019 barang juga belum sampai. no resi dicoba di trace and tracking malah tidak ditemukan,negative
"saya punya dua orderan. saya closing transaksi satu orderan, la koch semua orderan ikut closing transaksi. pdhal yg satu saya belum terima barangnta mau nanya ke admin tokped pake jalur bantuan, ga ada menunya. aneh..",negative
tingkatkan dan pertahankan terus pelayanan tokopedia yg sdh bagus. bisa bayar segala macam tagihan sekaligus belanja di tokopedia. tapi koq bulan juli ini sepi promo cashback pembayran tagihan sich..tolong diadakan lg dong...,positive
"saya suka dan puas dengan aplikasi tokopedia, bisa melacak paket kita dimana, tapi ada yang kurang menurut saya dari pelacakan itu, tokopedia hanya memberi tau tempat tujuan paket itu datang kemana, tapi tidak terhubung dengan google maps, kalau bisa terhubung nama lokasi tujuan paket itu dengan google maps, mungkin lebih lengkap lagi dari pelacakan paket itu sendiri, terima kasih",positive
"mantap pembayaran angsuran kredit menggunakan mandiri debit,waktu 00.00 tidak dapat melakukan transaksi menggunakan kode mandiribdg tetapi ketika waktu 00.01 di tekan kembali tulisannya berubah menjadi kuota sudah habis,gilak cepat banget tuh tangan orang atau ada unsur penipuan di dalamnya sama seperti di aplikasi sebelah.yg bermain pekerjanya juga berarti judulnya bukan event untuk umum melainkan event khusus pekerja tokped.selamat tokped atas tipu dayanya,perjuangkan terus.",negative
"mau tanya tokped lagi gangguan teknis pada pembayaran apa,ko saya dari kemaren mau pembayaran ga bisa bisa ini lagi banyak orderan lagi tolong pak segera di perbaiki lah",negative
"maaf, kenapa ya setelah diupdate kok malah nggak bisa buka whislit, katanya ada masalah pada server, padahal jaringannya normal. pas dibuka ulang beberapa kali tetap nggak bisa. pas dibuka langsung dari play store whislit nya juga nggak bisa dibuka. tolong solusinya ,secepatnya yaaa.",negative
"overall bagus. tapi saran saya mohon ditingkatkan lagi untuk sistem pengiriman instant/same day. bila pembeli memilih pengiriman same day, seharusnya waktu konfirmasi dan pengiriman oleh penjual jg harus di hari yg sama. bila penjual baru konfirmasi dan dikirim keesokan harinya sama saja dengan merugikan pembeli. apalagi mengingat jasa pengiriman instant / same day itu lebih mahal daripada jasa pengiriman lainnya.",positive
"menu pembayaran macet saat pembayaran transfer bank bca (saat pembayaran tidak bisa klik bayar), mau rubah metode pembayaran lainnya juga tidak bisa, coba install ulang dan coba lagi tetap juga macet",negative
"menurut saya sebagi pelanggan, aturan 1% tokped power merchant itu mempengaruhi pembelian. di karenakan pedagang menaikan harga jualnya. saya akan jadi pembeli kembali setelah peraturan 1% power merchant di hapus.",negative
"dear @tokped kenapa tambah kesini tambah pelit ama cash back tidak seperti dulu,setiap pembelian 1.300.000 dapet cashback 100.000,sekarang malah engga ada cash back sama sekali.padahal saya belanja di @tokped seminggu bisa 2 kali",negative
"kapok ke tokped, salah transfer uang nggak dibalikkin, udah disalin bukti transfer karena bayar via hp tetap aja harus diphoto rugi saya. pengalaman jangan salah transfer uang nggak dibalikkin tuh!",negative
"alhamdulillah tokopedia pelayanannya sangat mantap kemarin saya belanja kasur angin 1 set terdiri dari kasur, bantal dan pompa dalam waktu yang cepat telah dikirim kerumah mantap bisa dibuat langganan belanja.",positive
"aplikasinya sih bagus.... tp yg saya tidak suka, aplikasi ini memaksa usernya utk update. kalau tidak maka aplikasi ini tidak bisa digunakan.. tolong ini diperbaiki, agar pengguna tetap dapat memanfaatkan app ini tanpa harus uodate sekalipun. mengingat memori ponsel para user tidak semua sama dalam jumlah yg besar yg dapat menampung banyak memori!",positive
saya mau menggunakan saldo saya dan saya sudah memasukan kode untuk menggunakan saldo saya tapi kenapa tidak bisa / tidak valid ... bagaimana caranya untuk mengganti kode untuk membuka saldo saya ??? .... tolong dong ya di jawab ðð soalnya saldo saya ada banyak,negative
"toped tidak menyediakan dengan jelas kurir yang akan digunakan untuk pengiriman seperti dulu, pilihan pengiriman yang digunakan dalam aplikasi hanya durasi, tapi tidak menyediakan jasa kurir yg jelas, contohnya jne atau jnt, sehingga sangat menyulitkan, karena kita sdh terbiasa dengan jasa pengiriman yg sdh terbukti kualitasnya, kalau masih seperti ini, mungkin beralih ganti aplikasi yg lebih baik",negative
plus minus lah ada siang ada malam.. ada uang mau beli apa aja ada.. trus saya mau beli apa ya? bingung gak cukup duitnya bagi duit lah buat belanja.. kan tokopedia duitnya banyak ayo lah admin.. please bagi duit..,positive
"ini gimana si ka? sya pgn bayar tokped lewat indomaret gabisa,rekening gabisa,alfamidi jga gbsa. sya pgn klik tombol bayar knpa masi gabisa? dri tadi pagi smpe mlm,sya ulang berulang kali masii ttep aja gabsa. tolong diperbaiki lagi ka",negative
sangat membantu pengalaman berbelanja di jaman modern. pengalaman pertama belanja online langsung merasa puas. aman dan terpercaya..,positive
"kenapa saya harus buat tokped lg, semua produk dan foto2 ada di tokped. padahal hari ini baru kirim barang. terus saya buka aplikasi tokped tidak bisa di buka.",negative
"baru hari ini mau cek comment jualan, pas dibuka trnyata error.. nama akun bwt beli ga keliatan, kupon yg ada 3 jd ilang, kupon undoan ada 14 jd ilang, akun jualan namanya jd ga ada(kyk seolah2 blm punya akun jualan & bikin baru), ga bs lihat pesan/wishlist/diskusi..makin upgrade bukannya makin bagus, makin sering error gini.. ganti tim it nya klo kyk gini & juli ini terulang lg, kupon undian ga ilang, tapi saldo jualan 0..sering bgt errornya di saldo, awas2 sampe bnr2 hilang duit yg di saldo",negative
"sebagai pelanggan setia terlalu banyak kecewa atas pelayanan yang di berikan, dan bantuan yang di berikan dalam.mengatasi masalah atau keluhan pelanggan semua tidak ada gunanya dan tidak ada solusi yang mampu diberikan kepada konsumen oleh pihak tokped, tolong benahi kinerjanya dan profesional dong dalam menangani.masalah lihat inti masalahnya jangan asal cuap cuap aja, saya sebagai komsumen sangat kecewa ini bukan yg pertama kalinya",negative
"sangat disayangkan tokped kurang inovasi baru, berbagai tokped online sudah mempunyai feature pengiriman gratis dengan syarat minimal pembelanjaan, tapi tokped masih dengan feature lamanya. sekarang banyak orang hanya menggunakan tokped sebagai optional terakhir dalam belanja online. percaya atau tidak, lambat laun banyak orang akan mencopot aplikasi ini bila tidak ada inovasi baru.",negative
"tolong diperbaiki yg dikeranjang tidak bisa dihapus ada pesan 'maaf, terjadi sedikit kendala. coba ulangi beberapa saat lagi ya' padahal ada barang yg sudah gak saya inginkan jd menumpuk karena ga bisa dihapus",negative
"janji layanan burukkk jadi saya pesan barang sudah sesuai ketentuan merek dan gambarnya sudah konfirmasi dengan penjual, tapi barang yang datang berbeda trus saya komplain ke penjual tidak direspon, kemudian saya komplain melalui pusat bantuan lama banget ngurusin barang kecil doang dengan alasan penjual tidak merespon, mau sampe kapan tunggu2an respon? mau sampai saya lupa? haha",negative
"sangat kecewa saya hampir aja kena tipu sama salah satu penjual di merchant tokped. tolong dong tindak lanjuti penjual dengan nama tokped ""indah tirta"" dia hampir saja mau menipu saya...dengan modus ingin memberikan cashback 10% tapi minta kode verifikasi tokped saya... dan akhirnya akun saya di retas oleh si penjual, untungnya saya langsung sadar kalo saya mau ditipu... jadi saya langsung membatalkan barang yang saya beli di tokped dia",negative
tidak bertanggung jawab dan kurang respon terhadap pelanggan yang merasa ditipu oleh penjual produk. ini terjadi pada suami saya yang beli barang dan waktu pengiriman barang sesuai ongkos tertera satu hari ternyata 5 hari baru tiba... isi barang tdk sesuai dengan yang tertera di label paket hanya di straples aja bungkus paketnya... ini tokped tdk respon akan keluhan pelanggan,negative
saya pengguna lama tokped sangat kecewa sekarang sekarang ini untuk transaksi pembayaran tidak terus..tolong diperbaiki. paraah aplikasi tokped sekarang ini. tidak bisa dihubungi layanan ini. kecewaa,negative
"masih kurang lengkap untuk metode pembayaran agar diperlengkap lagi banknya. masalah yang sering timbul masi banyak seller yang mengecewakan. barang tidak sesuai gambar & deskripsi (menjadi salah satu kecurangan yang masih diizinkan di aplikasi ini). dan proses tunggu respon dengan jeda waktu yang terlalu lama. itu hanya sedikit masalh dlm toped selebihnya bagus. dan terimakasih untuk para seller jujur, semoga usahanya diperlancar",negative
"setiap kali transaksi di topet, sekalipun barang nggak pernah datang tepat waktu, itu ttp coba saya maklumin. tapi yang terakhir ini. saya minta pengiriman satu hari, barang baru datang seminggu, kan anjing... cs responnya lama nggak ikut membantu dan tanpa tanggungjawab, malah menyuruh saya menghubungi kurir. dah uninstall pindah ke shopee.",negative
tokopedia makin oke...akhirnya sesuai harapan sy bisa dicopas tapi syg sy masih blm bisa upgrade ke ovopoint krn ktp sy msh berupa resi...dan selalu gagal diproses...,positive
kenapa ya tokped saya ga bisa nyelesain pembayaran.... manual transfer bri dr indomaret dll tidak muncul kenapa biasa nya bisa mohon bantuan nya...nti saya kasih bintang 5 akun saya di tokped atas nama suami teguh rinaldi,negative
"terlalu ribet dan tidak teratur. kupon promo juga ribet harus disalin dan dicoba satu-persatu, banyak menyita waktu. tidak seperti tokped sebelah lebih gampang",negative
"saya sdh mendengar banyak dari teman d saudara saudara sy tentang kelebihan belanja on line di tokopedia,karena barang yang di kirim sesuai dengan keinginan pembeli dan ukuranpun sama sesuai pesanan tapi sy baru instal aplikasi ini sehingga saya belum memiliki pengalaman belanja di tokopedia mudah mudahan aplikasi ini bisa bermanfaat bagi saya,terima kasih..",positive
"tolong konfirmasi kesalahan pengiriman secepatnya,ini saya beli barang sampe sekarang belum ada padahal udah mesen dari sebelum jam 4sore dan saya pilih grab instan,tapi email yg masuk malah barang sudah diterima,tolong sebelum bilang barang sudah diterima dicek dulu itu barang diterima siapa!!! jangan jadi akun penipu,ini sudah termasuk penipuan!!! segera ditindak lanjuti",negative
"yg lain udh ngadain promo undian barang mewah dengan harga gak sampai 20ribu, plus jaminan uang kembali jika tdk beruntung",negative
"saya turunin bintangnya, aneh ini aplikasi di hp saya lemot sekali, padahal aplikasi yang lain lancar cupa tokped yg lemot, udah segala cara saya coba update versi terbarupun sudah tapi tetap lemot tolong bagimana solusinya",negative
knapa udh 3 hari ini tokped down pas saat mau pembayaran bnyak yg down pas saya mau cari bantuan ternyata sama saja pusat bantuan juga down tolong di perbaiki dan saya udh dm di instagram gk ada respon untuk kali ini 3 dolo,negative
pertama2 saya ucapkan trimakasih kepd tokopedia karna barng yg aku inginkan tlah aku dapatkan dan tokopedia tempat utk mencari barang kebutuhan apa saja ada disana mudan dan praktis dan barang yg kita pesan cepat wktu dan barang yg kita pesan aman,positive
sangat mengecewakan mau bayar pesenan malah error pdhl tinggal milih metode pembayaran sebelum di update normal2 saja . 1 tahun lebih langganan aplikasi ini makin ke sini makin hancur. sangat kecewa,negative
transaksi lebih aman dan terpercaya serta memberikan kemudahan untuk kita dalam membeli produk yang kita inginkan tanpa harus repot dan takut barang yang kita beli tidak sesuai ataupun tidak sampai dengan mekanisme pembayaran atau transaksi yang sudah tokopedia tentukan kita di berikan kemudahan untuk bisa menukar dan komplain serta mengecek produk dari hand phone tanpa harus bingung dan repot pokoknya membeli produk di tokopedia recomended jadi jangan ragu untuk bertransaksi ð,positive
pada saat saya hampir di tipu 7 juta saya langsung kirim email ke tokopedia dan respon cepat untuk tindak lanjut saya di telepon dari pihak tokopedia lalu pihak tokopedia blokir tokopedia penipuan nyaa dan uang saya kembali,positive
sekarang ada masalah lagi. saat beriklan di tokped dengan berbayar (top ads) kenapa saya dipaksa mininal klik 350. itu sangat tinggi untuk produk saya yg jarang laku! dulu bisa rp 50 per klik sekarang dipaksa rp 350/klik itu gila. tokped gila cari duit gak halal. maksa maksa. tolong dipertinbangkan ulang! saya mewakili seluruh penjual kecewa berat. otomatis diset di harga klik tinggi. + pas checkout beli barang. macet inputnya,negative
"nyesel beli di tokped saya beli batray hp dari tanggal 4 april sampai saat ini barang belum datang uang pun belum kembali oiya saya beli di tokped ""mekkanizm acc"" ketika di tanyakan pihak tokped. slow respon kadang2 gak di balas ada yang di baca doang seperti tidak bertanggung jawab. saya menulis ulasan ini bertanggung jawab dunia akhirat saya tidak mengada2",negative
"barangnya sudah sampai, makanya jangan larang dropshipper konfirmasi pengiriman ya. ribet kan jadinya, saya rugi sampai satu juta karena sistem kalian melarang kami dropshipper tidak mengkonfirmasi pengiriman. jangan asal menghimbau, saya tidak tau lagi harus bagaimana mengkonfirmasi pesanan yang telah terkirim. harusnya kalian yang berubah. tolong bolehkan dropshipper mengkonfirmasi pengiriman, saya suda rugi sejuta gara2 sistem dropship kalian yang tidak jelas dan menipu",negative
kalau ada barang bayar di tempat langsung saya kasih bintang 5 ya sekarang saya kasih bintang 3 aja dulu. .saya puas belanja di tokopedia namun saya juga masih belum puas karena tidak ada sistem bayar barang di tempat. .mudah mudahan bisa di perbaiki dan mudah mudahan saran saya di terima. .pembeli senang barang bagus dan aman harga murah meriah hatipun gembira terima kasih tokopedia udah menyediakan pembayaran ovo nya. .,positive
"memang sekarang banyak orang berbuat curang yang merugikan tokopedia, misal dengan membuat lebih dr 1 akun demi menikmati keuntungan dr tokopedia. untuk menjamin bahwa 1 pengguna hanya 1 akun pakai verifikasi ktp kan bisa, pakai 1 akun di tuduh lebih dari 1 akun, akhirnya terjadi pembuatan cashback, hargapun lebih mahal jadinya. kalo perlu verifikasi ktp dan kk biar ga di tuduh pakai lebih dr 1 akun.",positive
"halo admin, saya mengalami sedikit kendala yaitu tiap mo membuka jendela 12 product berikutnya terlalu lama, mohon di perbaiki. dan juga untuk batas harga dari minimum dan maximum kalau bisa di beri pilihan manualnya karna kalau hanya mengikuti pilihan yang ada terlalu banyak product yang di tampilkan dan tidak sesuai dgn yang di harapkan. terimakasih",negative
"variasi dan harga barang lebih lengkap dari tokopedia lain, tapi tolong perbanyak promo gratis ongkir seperti tokopedia sebelah.",positive
"aplikasi tokopedia sangat bagus dalam bertransaksi online. barang bagus. proses pembelian gak ribet. cs-nya peduli apabila customernya mengalami kendala. contoh : lupa kata sandi, dsb. kalau bisa, cashback yang diberikan di suatu barang, itu bisa digunakan sebagai diskon untuk barang tersebut.",positive
mohon diperbaiki lagi tentang masalah refund..transaksi saya dibatalkan tapi pengembalian dana ke rekening saya belum juga di tanggapi..sudah lebih dari waktu 2x24jam yang di terapkan oleh tokped,negative
untuk pelayanan pengaduan sangat kurang. sy terima tagihan listrik dr id dan nama pelanggan yang tdk sy kenal. kok bisa?? jumlah tagihannya lumayan lg. untung sy teliti.,negative
